review,insight,insight_encoded,predicted_insights,decoded_insight,decoded_predicted_insights
"Straightforward way to purchase tyres. Was able to study the tyre choice and make an informed opinion without any pressure from tyre salesman or tyrefitter. Got a great price, picked a really good local tyreshop and a time that suited me, The tyres were fitted very quickly and I was left with a positive feeling from using [REDACTED]. Already recommended to friends and family","['value for money positive', 'length of fitting positive', 'location positive']","9, 6, 7","(3, 6, 7, 9)","['value for money positive', 'length of fitting positive', 'location positive']","['ease of booking positive', 'length of fitting positive', 'location positive', 'value for money positive']"
Tyres from [REDACTED] and fitting at ATS. All went well and saved a few £’s.,"['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"Delayed tyre delivery, poor communication, had to ring up to find information since no reply to emails.",['delivery punctuality negative'],1,"(1,)",['delivery punctuality negative'],['delivery punctuality negative']
Delivered and fitted on time. This is the 3rd or 4th time I have bought from [REDACTED] and used Express of Walton to fit. Every time has been excellent. Couldn't be better service!,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Quality tyres at the lowest prices fitted locally,"['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
"They are so easy to use ,you get to choose which tyres at the cost you can afford with reviews on all the tyres great 👍","['value for money positive', 'ease of booking positive']","9, 3","(9,)","['value for money positive', 'ease of booking positive']",['value for money positive']
Waste of time and effort. Total waste of time and effort. Given days until the arranged appointment for fitting. Delivered the car today to the selected garage and they haven't arrived. This was despite the text this morning to confirm my appointment. It was extremely important they were fitted today before needing the vehicle for collecting a caravan tomorrow. On hold to the non existent customer services department now for over 15 mins. Pathetic.Wont use again and if you value your time I would advise you not to do so either.,"['change of date negative', 'delivery punctuality negative']","0, 1","(1, 9)","['change of date negative', 'delivery punctuality negative']","['delivery punctuality negative', 'value for money positive']"
I have to say [REDACTED] booking to selection of my tyres ok but problem arised from fitting company they were low quality a-z no respect at all pro tyre Enfield don't choose them total disappointment,"['ease of booking positive', 'garage service negative']","3, 4","(4,)","['ease of booking positive', 'garage service negative']",['garage service negative']
Very good service and good price. Kept me informed when delivery was delayed for a couple of days.,"['change of date negative', 'value for money positive', 'delivery punctuality negative']","0, 9, 1","(1, 9)","['change of date negative', 'value for money positive', 'delivery punctuality negative']","['delivery punctuality negative', 'value for money positive']"
"Happy customer. Easy to use, reasonably priced and lots of options","['value for money positive', 'ease of booking positive']","9, 3","(9,)","['value for money positive', 'ease of booking positive']",['value for money positive']
"Easy to buy, easy to select a local garage, no hassle at the garage - they knew it was a BC order and the tire was already there waiting AND it was cheaper than everybody else!","['value for money positive', 'ease of booking positive', 'location positive', 'garage service positive']","9, 3, 7, 5","(7, 9)","['value for money positive', 'ease of booking positive', 'location positive', 'garage service positive']","['location positive', 'value for money positive']"
New tyres. Very pleased with 4 Avon tyres at £62 each fitted. System worked exactly as it should and chosen garage was competent. Thank you.,"['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"Easy to organise, and good value.","['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
"Without a doubt, the best way to buy a tyre. You don't have to put up with some garage telling a product is the best purely because they have it in stock. Its also consistently cheaper then all of my local garages.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"I booked an appointment online and when I arrived at the garage he said there was no booking on his computer. He also said he was on his own would fit it in but he had other jobs to do first, so would take up to three hours. I decided to rebook for the following week. Inconvenient and cost money to get back there.",['change of date negative'],0,"(2,)",['change of date negative'],['ease of booking negative']
"When you don't have the budget and need tyres in an emergency, I can't speak highly enough.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Easy to book, time slot and garage of my choice then a great service fitting the tyres.","['ease of booking positive', 'garage service positive']","3, 5","(3, 5)","['ease of booking positive', 'garage service positive']","['ease of booking positive', 'garage service positive']"
"Great website and service from the fitting centre, plus a fantastic price....what more can I say !!!!","['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
"Reasonable price ,easy to order and pay.good choice of local fitters.","['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
"The guy who greated me basically just grunted at me. They did not replace my spare tyre and I had to go back to collect it, there was no apology for the mistake or for me having to take more time out from work to collect the tyre. One of my tyres then kept deflating and I once again had to go back to get this rectified. They guys on my 3rd visit were very nice but explained that the rim had not been prepared/ cleaned properly on the first fit nor was there enough sealant which is what caused the leak. Again no apology or any offer of recompense for my time or expence in 2 addition visits which were at [REDACTED] fault",['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
Had 2 tyres fitted was not told at the time we would have to go to ford dealers after fitting to have the tyre valves reset.,['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
"I was told the night before that the tyres hadn't arrived so could be fitted on the Tuesday and earliest would be Thursday, I emailed to ask why and yes that would be ok. Still had no response..... My wife then has a phone call mid day Tuesday so say the tyres were there ready to be fitted. When fitting was taking place all the tyre fitters did was swear. Not great if children were present.",['garage service negative'],4,"(1,)",['garage service negative'],['delivery punctuality negative']
"Easy to use website, very good prices, easy to arrange appointments and good service from ATS Llandrindod Wells.","['garage service positive', 'ease of booking positive', 'value for money positive']","5, 3, 9","(3, 5, 9)","['garage service positive', 'ease of booking positive', 'value for money positive']","['ease of booking positive', 'garage service positive', 'value for money positive']"
"Great service, quick availability, local garage did a good job","['location positive', 'ease of booking positive', 'garage service positive']","7, 3, 5","(5, 7)","['location positive', 'ease of booking positive', 'garage service positive']","['garage service positive', 'location positive']"
"Excellent. Quick, easy, convenient and value for money.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Good price and good service from the fitting garage,"['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
"Good service. Great prices when compared to other tyre fitters.Location good, easy to get to. Good choice of booking times. Propped.Friendly service.","['value for money positive', 'ease of booking positive', 'location positive']","9, 3, 7","(3, 9)","['value for money positive', 'ease of booking positive', 'location positive']","['ease of booking positive', 'value for money positive']"
Easy.. efficient and good value,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Easy to use, great deals",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
from ordering to fitting everything verry good,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Usually good fitting service,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"Good, efficient service. Excellent value for money.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Always have what I need and at right price plus arranging for the fitting is easy,"['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
"Cheapest premium brand fitted tyresGood service, tyres fitted in alloted time slot.Would definitely use their service again","['length of fitting positive', 'value for money positive']","6, 9","(5, 6, 9)","['length of fitting positive', 'value for money positive']","['garage service positive', 'length of fitting positive', 'value for money positive']"
"very good prompt service , the fitting agent were very good",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
The service was excellent and very friendly would recommend them,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Had the tyres I wanted a quite a reasonable price and they were fitted at a very professional garage very quickly.,"['garage service positive', 'length of fitting positive', 'value for money positive']","5, 6, 9","(5, 6, 9)","['garage service positive', 'length of fitting positive', 'value for money positive']","['garage service positive', 'length of fitting positive', 'value for money positive']"
"been to this garage a couple of times with tyre problems, done while you wait, drove off happy with the work, a good experience","['length of fitting positive', 'garage service positive']","6, 5","(5, 6)","['length of fitting positive', 'garage service positive']","['garage service positive', 'length of fitting positive']"
Service was great fitter really helpful. Accurate description of product,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"good price, work done to my timescale",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Buy online, pick day and time and turn up and tyres fitted. Exactly as it says on the tin",['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
Hidden valve cost,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Easy to sort and book and a good price.,"['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
I have used [REDACTED] before and have always found the site easy to use and the tyres are always good value.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
I have used [REDACTED] for several years now and have always found them easy to deal with and always good value,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Best price available online and excellent tyre fitting experience at the chosen garage. Will be buying again in the future.,"['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
Great prices and a wide choice of fitting centres,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Competitive and convenient. Allows me to book a tyre change and a local independent garage easily,"['location positive', 'ease of booking positive']","7, 3","(3, 7)","['location positive', 'ease of booking positive']","['ease of booking positive', 'location positive']"
"Easy, price right.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Keen prices, good range of products.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Tyre change. So easy and really good value.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Good prices and selection. The garage I chose (CGE in Dyce) was superb. Spotlessly clean, quick and efficient. I'll be back again","['garage service positive', 'value for money positive']","5, 9","(5, 6, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'length of fitting positive', 'value for money positive']"
Easy to order and book time at local dealer and be assured that the price is competitive.,"['location positive', 'ease of booking positive', 'value for money positive']","7, 3, 9","(3, 7, 9)","['location positive', 'ease of booking positive', 'value for money positive']","['ease of booking positive', 'location positive', 'value for money positive']"
"very good service, the fitter was excellent",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"Best price and have used you before. Efficiently dealt with by Wellingborough Tyres, staff friendly and helpful.","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"The fitting dealer was not informed of my booking, so when I arrived they had no knowledge of the booking and could not fit the tyres on the day it was booked in. The only knowledge they had of a [REDACTED] fitting was a reference number on the tyres that started with BC. Also, the dealer said that if I had phoned them directly, they would have easily beaten the BC price.",['value for money negative'],8,(),['value for money negative'],[]
"Competitive price, easy website, good choice of local garage to fit, efficient service","['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
Good price fast delivery and local fitting,"['value for money positive', 'location positive']","9, 7","(7, 9)","['value for money positive', 'location positive']","['location positive', 'value for money positive']"
"Great service, great price","['value for money positive', 'value for money positive']","9, 9","(9,)","['value for money positive', 'value for money positive']",['value for money positive']
Great value with local fitment no messing what so ever,"['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
easy to deal with. decent prices & now with added fit at your house for only £6 more per visit. Now Event tyres [REDACTED] are my preferred supplier,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"It’s the first time I have ordered tyres online after reading in autoexpress many times about [REDACTED] so I gave it a go and got my replacement tyre from them at a very good price and found a very good local service centre who fitted it, I would definitely use again and recommend","['location positive', 'garage service positive', 'value for money positive']","7, 5, 9","(7, 9)","['location positive', 'garage service positive', 'value for money positive']","['location positive', 'value for money positive']"
This is the third time I have used [REDACTED]. They are fantastic. The tyres were delivered on time a d fitted within the alotted time frame by the garage. Excellent work with brilliant prices. Thankyou,"['length of fitting positive', 'value for money positive']","6, 9","(6, 9)","['length of fitting positive', 'value for money positive']","['length of fitting positive', 'value for money positive']"
OK but. Swapping tyres was fine but all wheels left dirty.,['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
"Easy ordering, quick delivery, and efficient fitting at a great price.","['value for money positive', 'length of fitting positive']","9, 6","(6, 9)","['value for money positive', 'length of fitting positive']","['length of fitting positive', 'value for money positive']"
back again. Used [REDACTED] again as they provide competitive prices and several choices of fitting centres.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
I got the tyres I wanted at the cheapest price I could find and I was offered a range of fitting stations to choose from,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Really easy to use Website and Set up the fitting. Really easy to use and set-up, no issues when arriving at the garage to fit, second time I’ve used [REDACTED] and would definitely recommend.","['garage service positive', 'ease of booking positive']","5, 3","(3, 5)","['garage service positive', 'ease of booking positive']","['ease of booking positive', 'garage service positive']"
"Excellent service from both the website and the garage used. Barthwick Tyres in Poole, Dorset.",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Really pleased with prompt and efficient service. No issues. Great quality.,['length of fitting positive'],6,"(6,)",['length of fitting positive'],['length of fitting positive']
"My tyre was delayed by 2 days which was fine no issue with that, but I was rebooked in by yourselves- had my confirmation email, but when I turned up to the garage they had me booked in the day before but I was not notified which meant I had to leave getting my tyre changed for a further 3 days","['change of date negative', 'delivery punctuality negative']","0, 1","(0, 2)","['change of date negative', 'delivery punctuality negative']","['change of date negative', 'ease of booking negative']"
"great value for money fitted on time have used before and will be using again soon,why go anywhere else? thanks.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Good all in price, easy to use, choice of garages to have the work done at a time you want.","['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
"Avoid [REDACTED]. I was charged an additional £150 by the ""premium partner"" as they had difficulty releasing two locking wheel nuts. This is a job that would have taken any competent mechanic less than 20 minutes. My advice is to go to a regular tyre fitting company.",['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
"[REDACTED] Avon tyres ats euromaster. great selection of tyres, excellent all inclusive price,convenient fitting centre that for once DID not try to advise me that i needed alignment,or have weeping dampers or brake pads and discs,I will be using again for my other vehicles,and recommending to my friends thank you RD,","['value for money positive', 'location positive', 'garage service positive']","9, 7, 5","(5, 7, 9)","['value for money positive', 'location positive', 'garage service positive']","['garage service positive', 'location positive', 'value for money positive']"
"Staff helpful, they were careful not to scratch alloys",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Great choice and price of the tyres. Fitted at a choice of garages. Very efficient service I chose ATS. I was recommended by a friend now I will recommend [REDACTED] to others.,"['location positive', 'garage service positive', 'value for money positive']","7, 5, 9","(9,)","['location positive', 'garage service positive', 'value for money positive']",['value for money positive']
[REDACTED] has a fantastic website to go to for a big selection of popular brands for tyres. Also very helpful in assisting customers with finding the right tyre and finding a service centre for tyres to be fitted (or giving mail order options).,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
Good price. Simple to order on line. Fitted locally in less than half an hour.,"['location positive', 'value for money positive']","7, 9","(6, 9)","['location positive', 'value for money positive']","['length of fitting positive', 'value for money positive']"
"Great serviceGreat savings. Great service, great price, such a simple idea that works!Won’t buy tyres an other way",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Very easy way to buy book and fit tyre's. Good service from the garage fast and friendly definitely recomend!!!,"['garage service positive', 'ease of booking positive']","5, 3","(3, 5)","['garage service positive', 'ease of booking positive']","['ease of booking positive', 'garage service positive']"
Great service. Fast service. The mobile fitter was friendly and very good at making contact. He was in and out in no time.,['length of fitting positive'],6,"(6,)",['length of fitting positive'],['length of fitting positive']
"Prices great, fitting done quickly. Only negative was I was not given a choice of a time slot for fitting. I was told 8am when a choice of sat 8am, 9am or 10am would have been helpful.","['value for money positive', 'length of fitting positive', 'ease of booking negative']","9, 6, 2","(9,)","['value for money positive', 'length of fitting positive', 'ease of booking negative']",['value for money positive']
Good choice of tyres at a competitive price. Easy to arrange fitting at a local depot.,"['value for money positive', 'ease of booking positive', 'location positive']","9, 3, 7","(3, 7, 9)","['value for money positive', 'ease of booking positive', 'location positive']","['ease of booking positive', 'location positive', 'value for money positive']"
"Went very well, would definitely recommend, they sent me to a local garage and they were excellent, tried Asdatyres previously and had an horrendous result with them.","['garage service positive', 'location positive']","5, 7","(5, 7)","['garage service positive', 'location positive']","['garage service positive', 'location positive']"
Got what I ordered in a reasonable space of time in a professional manner. Price was good.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Great service. Order online (user friendly website and good selection of tyre brands), make an appointment, show up and done-and-dusted within an hour.Have used BC several times with the Tweeddale garage in Peebles and they have been perfect each time.","['ease of booking positive', 'length of fitting positive', 'garage service positive']","3, 6, 5","(3, 6)","['ease of booking positive', 'length of fitting positive', 'garage service positive']","['ease of booking positive', 'length of fitting positive']"
good prices and excellent service when fitting tyre - will use again.,"['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"The process was painless, all staff involved were personable and knew what they were doing and cared about their work, plus saved nearly £200 over other tyre retailers",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Ease of use, good price. Only issue is that the slot I booked online turned out not to be available but the communication around that was fine too..","['value for money positive', 'ease of booking negative']","9, 2","(9,)","['value for money positive', 'ease of booking negative']",['value for money positive']
"Only reason for not assigning 10 was that garage was unable to reserve time slot (other than am/pm); however, I was greeted by name, work on my car commenced immediately, and job was done to my complete satisfaction. Tyres ( Yokohama BluEarth-A AE50 235/50 R17 W (96)) were competitively priced and offered better fuel economy than many competing brands while still affording A-rated wet grip and 70dB.","['garage service positive', 'garage service negative', 'ease of booking negative', 'value for money negative', 'value for money positive']","5, 4, 2, 8, 9","(9,)","['garage service positive', 'garage service negative', 'ease of booking negative', 'value for money negative', 'value for money positive']",['value for money positive']
"Brilliant service! Acceptable prices, especially when you buy a full set of tyres. Both the garages I have been directed to use have been very good indeed.","['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
"Good price, excellent fitters (Chase Tyres) and easy to order.","['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
Really easy way to buy tyres & get them fitted at a location & time easy for you.,"['location positive', 'ease of booking positive']","7, 3","(3, 7)","['location positive', 'ease of booking positive']","['ease of booking positive', 'location positive']"
Much more expensive than last time And have sent me this survey twice,['value for money negative'],8,"(8,)",['value for money negative'],['value for money negative']
[REDACTED] have an extensive range of tyres to suit every budget and the website is easy to use.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"A quick, easy and cost effective way to buy tyres.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Good price and flexible with deliveries,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Great prices and very easy to use service.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Helpful and friendly without being pushy.,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
what a great service and good pricing for my tyres. I have and will continue to advise people of your service. MotorTechs were a great bunch of guys at Temple Farm Southend.,"['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
Price & the fact I’d used you before.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
The fitter was very abrupt so wouldn’t necessarily pick this particular garage again,"['garage service negative', 'ease of booking negative']","4, 2","(2,)","['garage service negative', 'ease of booking negative']",['ease of booking negative']
Very helpful lady - Amy,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"It was easy, quick and cheap to get tyres. The garage was amazing. Highly recommended.","['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
The garage in Didcot was poor!,['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
"Good selection of tyres, reasonable price, good options for fitting location.","['value for money positive', 'location positive']","9, 7","(7, 9)","['value for money positive', 'location positive']","['location positive', 'value for money positive']"
Good service reasonable prices,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
The garage could not honour the booking time. Why does your website offer such slots if they don’t exist. The garage had my car all day as a result.,['ease of booking negative'],2,"(0, 2)",['ease of booking negative'],"['change of date negative', 'ease of booking negative']"
The cost of the tyres is very competative however the customer service is excellent. I had an issue and the way your customer service dept dealt with it was exceptional. Thank you,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Great service, arrived on time and tyres fitted no problems.",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Local fitters next day delivery and competitive pricing,"['value for money positive', 'location positive']","9, 7","(7, 9)","['value for money positive', 'location positive']","['location positive', 'value for money positive']"
[REDACTED] itself good value easy to use but the so called premier garage they use fitted my tyres and they were terrible wheel shook stupidly second attempt same issue slightly improved but still noticeable shaking went to a other more regular garage I use rebalanced and smooth as ever,"['value for money positive', 'garage service negative']","9, 4","(4, 9)","['value for money positive', 'garage service negative']","['garage service negative', 'value for money positive']"
"No waiting for garage to order in tyres. Easy to arrange date for tyres to be fitted locally. Great website, will use again.","['location positive', 'ease of booking positive']","7, 3","(3, 7)","['location positive', 'ease of booking positive']","['ease of booking positive', 'location positive']"
good price and efficient service,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Good prices, excellent service at garage. Easy to use web-site.","['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
Excellent choice and availability of tyres. Access to plenty of approved garages to fit.,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
Good selection of tyres. Competative prices.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Most plight and helpful people,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Very fast & efficient plus a lovely cup of tea, what more could you expect.",['length of fitting positive'],6,"(6,)",['length of fitting positive'],['length of fitting positive']
excellent value and easy booking system,"['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
"Precise and cost efficient service, easy to order and collect",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Great cost and great service. Great cost, great service!",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"quick, easy, good value. excellent fitting","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
Amazing service will use again. Great service! Had a tyre change was £40 cheaper than the other garage I use just over the road!,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Excellent service. Easy booking process - competitive pricing and very knowledgeable and approachable technician. Will definitely use again.,"['value for money positive', 'ease of booking positive', 'garage service positive']","9, 3, 5","(3, 5, 9)","['value for money positive', 'ease of booking positive', 'garage service positive']","['ease of booking positive', 'garage service positive', 'value for money positive']"
"Top marks. Cheap, convenient and very easy!",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
A good experience. A good choice of tyres on offer at various price ranges. I chose a mid range pair of Avon Tyre's to be fitted at my nearby ATS outlet. Fitment and optional wheel alignment were carried out well with no issues. No problems with TPMS system either.,"['value for money positive', 'location positive', 'garage service positive']","9, 7, 5","(5, 7, 9)","['value for money positive', 'location positive', 'garage service positive']","['garage service positive', 'location positive', 'value for money positive']"
Easy to book and the garage installed the tires,"['ease of booking positive', 'garage service positive']","3, 5","(3, 5)","['ease of booking positive', 'garage service positive']","['ease of booking positive', 'garage service positive']"
Very good prices for tyres,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Excellent quick service and value.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"tyres where fitted in no time, they made a great . very pleased.","['length of fitting positive', 'garage service positive']","6, 5","(5, 6)","['length of fitting positive', 'garage service positive']","['garage service positive', 'length of fitting positive']"
"Good work. Two front tyres changed - no issues, would definitely use again and recommend.",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
First time user. Great price and service.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"A good selection of tyres and great prices as well. I got 2 tyres fitted for the price of one at the Land Rover dealership! McConechy's, in Elgin, who fitted the tyres were superb!","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"price and product very good , just the first come fist served not what I expect",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Always use [REDACTED] for my tyres. Excellent prices and service , fitted locally by my local garage. With a great choice of tyre makes for all budgets. My local tyre centres can’t beat their prices.","['value for money positive', 'location positive']","9, 7","(7, 9)","['value for money positive', 'location positive']","['location positive', 'value for money positive']"
"Easy website to use, competitive prices, convenient garage with friendly helpful service.","['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
"Would definitely use [REDACTED] again, good savings and delivered on time.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"[REDACTED] with a heart in the middle. Excellent service, choice and informative very step of the way until the day you get them fitted. Couldn't be happier after not knowing where to start from a novice at buying tyres.",['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
Good experience overall. Very helpful garage,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"Excellent service. Extensive selection of tyres at reasonable prices. Customer Service was excellent; the garage I originally selected for fitting could not fit me in for my chosen appointment so I was notified immediately and they managed to fit me in at another garage on the same day. Tyres were waiting when I arrived. Very satisfied, will definitely be my first choice next time I need tyres.","['garage service positive', 'value for money positive']","5, 9","(9,)","['garage service positive', 'value for money positive']",['value for money positive']
"Always good price,",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Quality tyres at great price & excellent service at Tyreshops!,"['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
Super easy and cheapest I could find,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Buying on line I was able to get the tyre I wanted at a competitive price,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Seamless purchase and fitting.,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"From choosing Tyre online and to get fitted in local garage, it was so easier, quick and on bargain price. Good communication, reminder and conformation very cleared. I will definitely use there service again.","['garage service positive', 'value for money positive', 'location positive']","5, 9, 7","(3, 5, 7, 9)","['garage service positive', 'value for money positive', 'location positive']","['ease of booking positive', 'garage service positive', 'location positive', 'value for money positive']"
Great service easy to order online would highly recommend.,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
Quick and easy buying experience. Easy to choose a selected garage and fitting time,"['garage service positive', 'ease of booking positive']","5, 3","(3,)","['garage service positive', 'ease of booking positive']",['ease of booking positive']
Good job all round. I shopped around prior to booking with [REDACTED] and their prices were competitive and the work was carried out on time with no fuss.,"['ease of booking positive', 'value for money positive']","3, 9","(3, 9)","['ease of booking positive', 'value for money positive']","['ease of booking positive', 'value for money positive']"
Very easy to do. No hassle. Great price.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"The ordering process was simple and quick. Several levels of tyre choices including two budget ranges. Plenty of approved fitting shops to choose from in my local area, which was handy. No doubt about it, [REDACTED].com is the way to order tyres in future!","['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
Great price great service,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Easy to use and great price,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Hassle free tyre change. Easy to organise. Work done on time. Have used a few times now and will certainly use again.,"['length of fitting positive', 'ease of booking positive', 'garage service positive']","6, 3, 5","(3,)","['length of fitting positive', 'ease of booking positive', 'garage service positive']",['ease of booking positive']
"Excellent service, and good prices, but I never score 10 as it laves no room for improvement!",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
